Abu Dhabi,U.A.E.
Adelaide,Australia
Ahmedabad,India
Albion,West Indies
Amritsar,India
Amstelveen,Netherlands
Auckland,New Zealand
Bahawalpur,Pakistan
Basseterre,West Indies
Belfast,Ireland
Bengaluru,India
Benoni,South Africa
Birmingham,England
Bloemfontein,South Africa
Bridgetown,West Indies
Brisbane,Australia
Bristol,England
Bulawayo,Zimbabwe
Cairns,Australia
Canberra,Australia
Canterbury,New Zealand
Cape Town,South Africa
Cardiff,England
Carrara,Australia
Castries,West Indies
Centurion,South Africa
Chandigarh,India
Chattogram,Bangladesh
Chelmsford,England
Chennai,India
Chester-le-Street,England
Chittagong,Bangladesh
Christchurch,New Zealand
Colombo (PSS),Sri Lanka
Colombo (RPS),Sri Lanka
Colombo (SSC),Sri Lanka
Cuttack,India
Dambulla,Sri Lanka
Darwin,Australia
Delhi,India
Dhaka,Bangladesh
Dharamsala,India
Dubai (DSC),U.A.E.
Dublin,Ireland
Dublin (Malahide),Ireland
Dunedin,New Zealand
Durban,South Africa
East London,England
Edinburgh,Scotland
Faisalabad,Pakistan
Faridabad,India
Fatullah,Bangladesh
Galle,Sri Lanka
Geelong,Australia
Georgetown,West Indies
Glasgow,Scotland
Gros Islet,West Indies
Gujranwala,Pakistan
Guwahati,India
Gwalior,India
Hambantota,Sri Lanka
Hamilton,New Zealand
Harare,Zimbabwe
Hobart,Australia
Hove,England
Hyderabad (Deccan),India
Hyderabad (Sind),India
Indore,India
Jaipur,India
Jalandhar,India
Jammu,India
Jamshedpur,India
Jodhpur,India
Johannesburg,South Africa
Kandy,Sri Lanka
Kanpur,India
Karachi,Pakistan
Kingston,West Indies
Kingstown,West Indies
Kochi,India
Kolkata,India
Kuala Lumpur,Neutral
Lahore,Pakistan
Lauderhill,U.A.E.
Launceston,Australia
Leeds,England
Leicester,England
Lord's,England
Lucknow,India
Mackay,Australia
Manchester,England
Margao,India
Melbourne,Australia
Melbourne (Docklands),Australia
Mohali,India
Moratuwa,Sri Lanka
Mount Maunganui,New Zealand
Multan,Pakistan
Mumbai,India
Mumbai (BS),India
Nagpur,India
Nairobi (Gym),Kenya
Napier,New Zealand
New Delhi,India
North Sound,Neutral
Nottingham,England
Paarl,South Africa
Pallekele,Sri Lanka
Perth,Australia
Peshawar,Pakistan
Pietermaritzburg,South Africa
Port Elizabeth,South Africa
Port of Spain,West Indies
Potchefstroom,South Africa
Providence,Neutral
Pune,India
Queenstown,New Zealand
Quetta,Pakistan
Rajkot,India
Ranchi,India
Rawalpindi,Pakistan
Roseau,West Indies
Sahiwal,Pakistan
Sharjah,U.A.E.
Sheffield,England
Sialkot,Pakistan
Singapore,Neutral
Southampton,England
Srinagar,India
St George's,South Africa
St John's,Neutral
Sydney,Australia
Taunton,England
Taupo,New Zealand
The Oval,England
Thiruvananthapuram,India
Toronto,Neutral
Tunbridge Wells,England
Vadodara,India
Vijayawada,England
Visakhapatnam,India
Wellington,New Zealand
Worcester,England
